title,description
Software Engineer,"We are looking for a backend engineer with Python and REST API experience."
Software Engineer,"Build and scale microservices using Flask and PostgreSQL."
Data Analyst,"You will work with SQL, Excel, and visualization tools like Tableau."
Data Analyst,"Use Power BI and Python to automate dashboards and track KPIs."
HR Specialist,"Responsible for recruitment, screening, and onboarding new employees."
HR Specialist,"Manage payroll, hiring documents, and internal training schedules."
Marketing Manager,"Develop and implement marketing campaigns to increase brand awareness."
Marketing Manager,"Plan digital marketing strategies and manage social media ads."
Product Manager,"Oversee product lifecycle from concept to launch in Agile teams."
Product Manager,"Collaborate with engineering and UX to shape roadmap and product vision."